entry_id,cluster,L_min,L_max,L_asym,log_depth_min,interface_density,log_n_true,mint_pak,boltz_msa_pak,boltz_nomsa_pak
10tq,3,428,428,0.0,3.633367445117007,0.0003384575072058,1.792391689498254,0.0,0.0,0.0
10ua,3,428,428,0.0,3.633367445117007,0.0003493754913092,1.806179973983887,0.0,0.0,0.0
28vj,1,55,358,0.8463687150837989,0.3010299956639812,0.0045200609446419,1.9493900066449128,0.0561797752808988,0.123595505952835,0.3033707737922668
7px1,2,84,84,0.0,0.9030899869919436,0.0107709750566893,1.8808135922807914,0.0657894736842105,0.078947365283966,0.1184210553765297
7qcn,3,407,407,0.0,3.9437417658313136,0.0007364970509933,2.0863598306747484,0.0,0.2213114798069,0.2295081913471222
7qes,2,182,184,0.0108695652173913,3.668292710448221,0.00188127090301,1.7993405494535817,0.0,0.0317460335791111,0.0
7qeu,2,173,186,0.0698924731182795,3.6884198220027113,0.001771396606377,1.7558748556724915,0.0,0.0175438597798347,0.0
7qrh,0,209,211,0.0094786729857819,3.5207454715194824,0.00115648880927,1.7075701760979363,0.0,0.0,0.0196078438311815
7qsp,0,123,125,0.016,3.8543667780408697,0.0008455284552845,1.1139433523068367,0.0,0.0,0.0
7qui,0,131,135,0.0296296296296296,3.607562243183588,0.0013570822731128,1.380211241711606,0.0,0.0,0.0
7sku,2,299,301,0.0066445182724252,2.184691430817599,0.0029000322225802,2.416640507338281,0.0,0.2950191497802734,0.0076628350652754
7sse,3,293,298,0.0167785234899328,3.2523675144598987,0.0006184575211306,1.7323937598229686,0.0,0.0,0.0
7sz2,2,175,180,0.0277777777777777,3.469822015978163,0.004095238095238,2.110589710299249,0.0,0.0,0.0077519379556179
7sz3,2,175,179,0.0223463687150838,3.469822015978163,0.0041181165203511,2.110589710299249,0.0,0.0,0.0155038759112358
7t4k,3,378,402,0.0597014925373134,3.154119525515847,0.0005198873358077,1.8976270912904414,0.0126582278481012,0.0,0.0
7t4l,3,376,377,0.0026525198938992,3.137354111370733,0.0006278571025452,1.9493900066449128,0.0112359550561797,0.0,0.0
7t4n,3,399,404,0.0123762376237623,3.230959555748569,0.0007072135785007,2.0569048513364727,0.0087719298245614,0.0,0.0
7t71,3,347,348,0.0028735632183908,2.170261715394957,0.0005217132067971,1.7993405494535817,0.0,0.0,0.0
7tuk,2,142,142,0.0,2.7671558660821804,0.0045625867883356,1.9637878273455553,0.0,0.0108695654198527,0.0760869532823562
7tul,0,138,140,0.0142857142857142,2.741939077729199,0.0030020703933747,1.7634279935629373,0.0172413793103448,0.0344827584922313,0.0
7tze,0,203,213,0.0469483568075117,2.9222062774390163,0.0006244362728092,1.4313637641589874,0.0,0.1111111119389534,0.0740740746259689
7tzl,3,271,271,0.0,3.898450919198375,0.0005174221483912,1.5797835966168101,0.0,0.0,0.0
7ubj,0,144,146,0.0136986301369863,3.1277525158329733,0.0016171993911719,1.5314789170422551,0.0,0.0,0.0
7ubk,2,146,147,0.0068027210884353,3.1277525158329733,0.0045196160656043,1.9867717342662448,0.0103092783505154,0.0206185560673475,0.0309278350323438
7uj4,3,442,447,0.0111856823266219,3.1559430179718366,0.0001214734732302,1.380211241711606,0.0,0.0,0.0
7ul6,3,439,439,0.0,3.777209258145685,0.0005188848127604,2.0,0.0,0.0399999991059303,0.0
7ula,3,316,430,0.2651162790697674,3.030194785356751,0.001788342655284,2.385606273598312,0.0,0.0,0.0041152262128889
7ut0,3,282,284,0.0070422535211267,3.937517892017347,0.0002871840974927,1.3617278360175928,0.0,0.0,0.0
7uxs,2,194,196,0.010204081632653,3.337259539750276,0.0023143277929728,1.9444826721501687,0.0,0.1477272659540176,0.0454545468091964
7vm0,3,386,406,0.0492610837438423,3.9654839242451385,0.0002233339288904,1.5440680443502757,0.0,0.0,0.0
7vse,0,155,155,0.0,4.2136505484610005,0.0015400624349635,1.568201724066995,0.0,0.1351351290941238,0.1081081107258796
7vwt,3,317,326,0.0276073619631901,2.989894563718773,0.0009096011302277,1.9731278535996986,0.0,0.0,0.0
7vzo,0,191,191,0.0,3.9558320102324216,0.0011786957594364,1.6334684555795866,0.0,0.0,0.0
7w2q,2,198,201,0.0149253731343283,3.9208534961212593,0.0018845168098899,1.8750612633917,0.1733333333333333,0.2399999946355819,0.1066666692495346
7w5q,2,114,117,0.0256410256410256,4.040997692423491,0.0042735042735042,1.7558748556724915,0.0,0.0,0.0
7w81,0,180,181,0.005524861878453,2.583198773968623,0.0005831798649478,1.2787536009528289,0.0,0.0,0.0
7wf9,2,122,123,0.008130081300813,3.1565491513317814,0.0125949620151939,2.2764618041732443,0.0476190476190476,0.0476190485060215,0.0211640205234289
7wgu,3,348,349,0.0028653295128939,3.845035993513415,0.000321114514376,1.591064607026499,0.0,0.0,0.0
